Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2013,KOR,"Korea, Rep.",39,1,"7,58","7,04","6,15","9,75","7,62","7,35","27.182,73","0,067","0,113","10,21","0,032","0,01","0,12",,,
2013,MEX,Mexico,82,3,"6,98","7,61","4,91","8,13","7,17","7,11","10.865,69","0,047","0,137","9,29","0,014","-0,02","0,15",,,
2013,TWN,Taiwan,34,1,"7,62","7,62","6,25","9,64","7,39","7,21","0,00","0,000","0,000","0,00","0,025","0,11","0,11",,,
2013,THA,Thailand,104,3,"6,49","7,29","4,80","6,98","6,34","7,06","6.041,13","0,051","0,087","8,71","0,027","-0,07","0,20",,,
2013,TUR,Turkey,79,2,7,"7,25","5,09","9,03","7,10","6,50","12.507,80","0,069","0,127","9,43","0,085","-0,14","0,30",,,
2013,USA,United States,5,1,"8,23","7,02","7,59","9,82","7,96","8,74","53.291,13","0,029","0,027","10,88","0,018","0,26","0,11",,,
2012,ARG,Argentina,143,4,"5,29","6,15","4,36","6,61","3,38","5,93","13.082,66","0,018","0,161","9,48","-0,010","0,15","0,25",,,
2008,BRA,Brazil,92,3,"6,5","7,31","5,68","7,69","7,05","4,79","8.801,76","0,202","0,051","9,08","0,051","-0,53","0,51","-0,2848988064","0,01724137931","-0,310127089"
2012,CHL,Chile,14,1,"7,91","8,05","6,86","9,14","7,98","7,50","15.406,49","0,053","0,118","9,64","0,062","0,03","0,09",,,
2012,CHN,China,121,4,"6,11","4,98","5,22","7,92","6,30","6,14","6.300,58","0,122","0,076","8,75","0,078","0,03","0,17",,,
2012,FRA,France,33,1,"7,6","5,26","7,47","9,66","8,22","7,40","40.870,85","-0,068","0,083","10,62","0,004","0,14","0,21",,,
2012,DEU,Germany,16,1,"7,89","6,13","8,06","9,49","8,08","7,71","43.855,85","-0,061","0,093","10,69","0,004","0,26","0,19",,,
2012,HKG,"Hong Kong SAR, China",1,1,"9,01","8,93","7,76","9,49","9,49","9,40","36.730,80","0,045","0,040","10,51","0,017","0,21","0,16",,,
2012,ISR,Israel,43,2,"7,49","6,68","5,78","9,64","8,13","7,24","33.156,23","-0,035","0,101","10,41","0,026","0,07","0,14",,,
2012,JPN,Japan,22,1,"7,84","6,09","7,55","9,88","7,69","7,99","49.145,28","0,008","0,043","10,80","0,014","0,21","0,16",,,
2012,KOR,"Korea, Rep.",31,1,"7,63","7,10","6,27","9,68","7,69","7,43","25.466,76","0,015","0,134","10,15","0,024","0,09","0,15",,,
2012,MEX,Mexico,80,3,"6,95","7,58","4,96","8,12","7,07","7,03","10.376,09","0,003","0,137","9,25","0,036","0,16","0,11",,,
2012,TWN,Taiwan,42,2,"7,54","7,40","6,31","9,42","7,35","7,23","0,00","0,000","0,000","0,00","0,022","0,09","0,15",,,
2012,THA,Thailand,101,3,"6,55","7,34","4,87","6,97","6,49","7,07","5.748,63","0,065","0,087","8,66","0,072","0,31","0,13",,,
2012,TUR,Turkey,68,2,"7,1","7,46","5,30","8,95","7,15","6,63","11.697,47","0,034","0,132","9,37","0,048","0,42","0,17",,,
2012,USA,United States,5,1,"8,26","7,40","7,57","9,78","7,99","8,57","51.784,42","0,034","0,026","10,85","0,023","0,13","0,13",,,
2011,ARG,Argentina,133,4,"5,79","6,35","4,43","6,96","5,52","5,70","12.848,74","0,237","0,149","9,46","0,060","-0,36","0,30",,,
