Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2003-09-01,15.174.000.000,17.104.000.000,15.075.000.000,16.011.000.000,16.011.000.000,0,,"0,05516014235",,,,,,,,,,,,,,,
2003-10-01,16.010.000.000,18.660.000.000,16.010.000.000,17.982.000.000,17.982.000.000,0,,"0,1231028668",,,,,,,,,,,,,,,
2003-11-01,17.983.000.000,20.188.000.000,17.983.000.000,20.184.000.000,20.184.000.000,0,,"0,1224557891",,,,,,,,,,,,,,,
2003-12-01,20.184.000.000,22.310.000.000,20.184.000.000,22.236.000.000,22.236.000.000,0,,"0,1016646849",,,,,,,,,,,,,,,
2004-01-01,22.233.000.000,24.518.000.000,21.649.000.000,21.851.000.000,21.851.000.000,0,,"-0,01731426516",,,,,,,,,,,,,,,
2004-02-01,21.842.000.000,23.374.000.000,20.092.000.000,21.755.000.000,21.755.000.000,0,,"-0,004393391607",,,,,,,,,,,,,,,
2004-03-01,21.761.000.000,23.373.000.000,20.756.000.000,22.142.000.000,22.142.000.000,0,,"0,01778901402",,,,,,,,,,,,,,,
2004-04-01,22.142.000.000,23.260.000.000,19.508.000.000,19.607.000.000,19.607.000.000,0,,"-0,1144883028",,,,,,,,,,,,,,,
2004-05-01,19.622.000.000,20.342.000.000,17.601.000.000,19.545.000.000,19.545.000.000,0,,"-0,003162135972",,,,,,,,,,,,,,,
2004-06-01,19.545.000.000,21.183.000.000,19.177.000.000,21.149.000.000,21.149.000.000,0,,"0,08206702481",,,,,,,,,,,,,,,
2004-07-01,21.152.000.000,22.676.000.000,20.821.000.000,22.337.000.000,22.337.000.000,0,,"0,05617286869",,,,,,,,,,,,,,,
2004-08-01,22.342.000.000,23.381.000.000,21.178.000.000,22.803.000.000,22.803.000.000,0,,"0,0208622465",,,,,,,,,,,,,,,
2004-09-01,22.803.000.000,23.485.000.000,21.739.000.000,23.245.000.000,23.245.000.000,0,,"0,01938341446",,,,,,,,,,,,,,,
2004-10-01,23.246.000.000,24.362.000.000,22.390.000.000,23.052.000.000,23.052.000.000,0,,"-0,00830286083",,,,,,,,,,,,,,,
2004-11-01,23.050.000.000,25.160.000.000,22.941.000.000,25.128.000.000,25.128.000.000,0,,"0,09005726184",,,,,,,,,,,,,,,
2004-12-01,25.129.000.000,26.270.000.000,24.452.000.000,26.196.000.000,26.196.000.000,0,,"0,04250238777",,,,,,,,,,,,,,,
2005-01-01,26.193.000.000,26.492.000.000,23.534.000.000,24.351.000.000,24.351.000.000,0,,"-0,07043060009",,,,,,,,,,,,,,,
2005-02-01,24.392.000.000,28.778.000.000,24.073.000.000,28.139.000.000,28.139.000.000,0,,"0,1555582933",,,,,,,,,,,,,,,
2005-03-01,28.135.000.000,29.584.000.000,25.761.000.000,26.611.000.000,26.611.000.000,0,,"-0,05430185863",,,,,,,,,,,,,,,
2005-04-01,26.612.000.000,27.178.000.000,24.154.000.000,24.844.000.000,24.844.000.000,0,,"-0,06640111232",,,,,,,,,,,,,,,
2005-05-01,24.847.000.000,25.808.000.000,23.680.000.000,25.207.000.000,25.207.000.000,0,,"0,01461117372",,,,,,,,,,,,,,,
2005-06-01,25.209.000.000,26.755.000.000,24.224.000.000,25.051.000.000,25.051.000.000,0,,"-0,006188757091",,,,,,,,,,,,,,,
2005-07-01,25.051.000.000,26.306.000.000,24.192.000.000,26.042.000.000,26.042.000.000,0,,"0,03955929903",,,,,,,,,,,,,,,
